USER_ID,User_Name,Email,Org
orgID:1,Contact name 1,Fname.Lname@org1.com,Ministry Name 1
orgID:2,Contact name 2,Fname.Lname@org2.com,Ministry Name 2
orgID:3,Contact name 3,Fname.Lname@org3.com,Ministry Name 3
orgID:4,Contact name 4,Fname.Lname@org4.com,Ministry Name 4
orgID:5,Not provided,Fname.Lname@org5.com,Ministry Name 5
individualID:1,Full name 1,Name1@gmal.com,Not provided
individualID:2,Full name 2,Name2@orgname.com,University of X
individualID:3,Full name 3,Name3@gmal.com,Org Name 6
individualID:4,Full name 4,Name4@gmal.com,Crown corp 1
individualID:5,Full name 5,Name5@gmal.com,University of Y
individualID:6,Full name 6,Name6@gmal.com,City Airport Authority
individualID:7,Full name 7,Name7@gmal.com,Crown corp 2
