USER_ID,Total,Jobs,Avg,User_Name,Email,Org
orgID:1,324,2,162,Contact name 1,Fname.Lname@org1.com,Org Name 1
orgID:2,29950,14,2139.3,Contact name 2,Fname.Lname@org2.com,Org Name 2
orgID:3,20595,14,1471.1,Contact name 3,Fname.Lname@org3.com,Org Name 3
orgID:4,2622,2,1311,Contact name 4,Fname.Lname@org4.com,Org Name 4
orgID:5,25138,6,4189.7,Not provided,Fname.Lname@org5.com,Org Name 5
individualID:1,3,1,3,Full name 1,Name1@gmal.com,Not provided
individualID:2,2182,4,545.5,Full name 2,Name2@orgname.com,University of X
individualID:3,1802702,6,300450.3,Full name 3,Name3@gmal.com,Org Name 6
individualID:4,294876,18,16382,Full name 4,Name4@gmal.com,Crown corp 1
individualID:5,5152,14,368,Full name 5,Name5@gmal.com,University of Y
